證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1604,1175124,473,30368199,25.7,25.95,25.7,25.95,0.3,25.9,82,25.95,89,5.63
1605,40670245,10642,786385642,19.2,19.65,19.1,19.45,0.75,19.45,75,19.5,1435,10.93
1608,12348934,3833,171802542,14.3,14.35,13.65,13.85,0.35,13.85,103,13.9,109,14.58
1609,8490794,3101,171705871,20.35,20.45,20.0,20.2,0.15,20.15,83,20.2,36,14.74
1611,6419412,2162,80892405,12.3,12.95,12.2,12.7,0.5,12.7,30,12.75,74,5.08
1612,8528869,3151,161273714,18.6,19.3,18.35,18.6,0.25,18.6,24,18.65,19,14.88
1614,141166,65,5057992,35.9,36.0,35.75,35.8,0.1,35.7,31,35.8,3,24.52
1615,368303,199,9227923,24.75,25.3,24.5,25.1,0.7,25.05,14,25.1,37,9.96
1616,3036718,871,20123894,6.89,6.89,6.48,6.6,0.29,6.6,1,6.62,3,0.0
1617,118010,63,1701194,14.4,14.5,14.35,14.5,0.15,14.4,13,14.5,4,14.95
1618,3385218,1302,46508919,13.8,14.15,13.35,13.6,0.0,13.55,13,13.6,19,13.6
1626,50603,33,1118404,22.15,22.2,22.0,22.1,0.05,22.05,8,22.1,18,29.47
1701,1742155,744,40849585,23.75,23.75,23.25,23.35,0.25,23.3,145,23.35,17,13.04
1702,743351,383,33818820,45.9,45.9,45.25,45.55,0.05,45.5,2,45.55,6,11.47
1707,133526,157,23668944,178.0,178.0,177.0,177.0,0.0,177.0,1,177.5,7,18.85
1708,1548879,667,37381920,24.05,24.35,23.95,23.95,0.05,23.95,60,24.0,13,31.51
1709,1073736,481,16868290,15.85,15.9,15.6,15.7,0.0,15.65,49,15.7,28,16.88
1710,3384089,1154,66943527,19.95,20.1,19.65,19.8,0.0,19.75,33,19.8,19,0.0
1711,3340653,1438,56630248,16.9,17.1,16.8,16.8,0.1,16.8,182,16.85,108,52.5
1712,1026485,288,21321700,20.75,20.85,20.7,20.8,0.05,20.75,100,20.8,75,11.43
1713,43548,28,838475,19.3,19.35,19.15,19.3,0.05,19.15,2,19.3,10,40.21
1714,6127715,1552,63371644,10.5,10.55,10.15,10.3,0.05,10.25,56,10.3,1,5.79
1717,8784001,4360,333956596,38.6,38.6,37.7,37.7,0.35,37.7,244,37.75,4,20.27
1718,26108465,5341,266763047,10.3,10.4,10.0,10.15,0.0,10.15,264,10.2,291,7.93
1720,268710,173,10069144,37.6,37.6,37.4,37.55,0.05,37.55,2,37.6,27,14.55
1721,515193,233,5737339,11.25,11.25,11.05,11.15,0.05,11.15,7,11.2,42,4.26
1722,1248047,571,66211117,53.2,53.3,52.8,53.0,0.1,53.0,2,53.1,13,19.92
1723,517772,423,55922039,108.0,108.5,107.5,108.0,0.0,107.5,3,108.0,37,37.89
1724,29693,54,383236,12.9,12.95,12.9,12.9,0.0,12.9,1,12.95,59,49.62
1725,29053,23,443159,15.4,15.4,15.15,15.2,0.1,15.2,7,15.35,2,16.7
1726,16388,19,1174890,71.8,71.8,71.7,71.7,0.3,71.7,5,71.8,1,14.09
1727,35819,67,402715,11.25,11.3,11.2,11.2,0.1,11.2,10,11.25,17,0.0
1730,70734,65,5043870,71.8,71.8,71.0,71.3,0.5,71.3,4,71.5,2,12.55
1731,455778,209,7785710,17.1,17.2,17.0,17.1,0.05,17.05,14,17.1,66,14.62
1732,1232318,757,27817777,23.0,23.0,22.2,22.5,0.65,22.5,13,22.55,1,27.44
1733,212007,129,5092561,23.95,24.15,23.95,24.05,0.15,24.05,4,24.1,4,16.7
1734,1221124,812,36718542,30.25,30.4,29.8,29.95,0.1,29.95,4,30.0,4,83.19
1735,36008,24,603582,16.7,16.8,16.7,16.8,0.0,16.8,2,16.95,1,36.52
1736,2837398,2018,262426909,92.7,94.1,90.2,92.6,0.1,92.5,16,92.6,50,31.28
1737,152439,119,4975813,32.65,32.75,32.6,32.65,0.0,32.65,3,32.7,5,20.53
1760,755745,536,64326927,86.4,86.4,84.5,84.6,0.0,84.6,13,84.7,10,136.45
1762,589130,387,36681642,62.5,62.7,61.7,62.7,0.5,62.4,71,62.7,7,10.35
1773,178813,150,19551684,109.0,110.0,108.5,108.5,0.5,108.5,5,109.0,28,17.73
1776,31000,25,513200,16.65,16.65,16.45,16.5,0.15,16.45,6,16.5,1,30.0
1783,74005,50,1675513,22.65,22.75,22.6,22.6,0.05,22.6,19,22.65,10,30.96
1786,57036,69,3469277,61.3,61.3,60.5,60.6,0.7,60.6,2,60.7,3,27.93
1789,881273,498,25412198,29.0,29.0,28.7,28.8,0.05,28.75,34,28.8,9,70.24
1795,349288,274,28317123,81.2,81.6,80.7,81.2,0.1,81.1,5,81.2,5,23.47
1802,17757464,5676,322198001,18.15,18.65,17.55,18.1,0.0,18.05,271,18.1,104,201.11
1805,381058,63,3790377,9.97,10.05,9.8,10.0,0.05,9.84,11,9.99,1,0.0
1806,1943799,422,14417851,7.49,7.52,7.29,7.37,0.04,7.36,43,7.37,25,0.0
1808,173925,106,10376886,59.0,60.0,59.0,59.4,0.4,59.2,2,59.4,1,21.76
1809,1082033,393,13437382,12.5,12.55,12.3,12.35,0.0,12.35,46,12.4,143,0.0
1810,875796,245,8682684,9.88,9.99,9.85,9.87,0.0,9.87,9,9.88,13,58.06
1817,121144,71,4148493,34.35,34.35,34.05,34.15,0.15,34.15,3,34.2,3,11.54
1903,515177,343,29545756,58.3,58.6,56.8,56.9,1.3,56.9,34,57.3,1,0.0
1904,1547162,816,49415770,32.0,32.1,31.85,31.85,0.1,31.85,93,31.9,12,10.41
1905,7925261,2195,89625144,11.45,11.55,11.05,11.15,0.1,11.15,57,11.2,54,0.0
1906,1071547,355,18097305,17.25,17.25,16.7,16.75,0.35,16.75,4,16.85,8,33.5
1907,2921757,1048,75478276,25.75,26.1,25.65,25.7,0.05,25.65,40,25.7,42,9.35
1909,29341486,9524,657319459,22.75,23.15,21.9,22.0,0.6,22.0,529,22.05,68,27.85
2002,37793792,10164,913514566,24.35,24.45,24.0,24.2,0.15,24.15,353,24.2,218,0.0
2002A,8897,13,454235,51.0,51.1,50.8,51.1,0.0,50.7,8,51.1,4,0.0
2006,10384036,4795,379675810,36.55,37.2,36.2,36.55,0.05,36.5,99,36.55,47,15.17
2007,2852472,1063,27441863,9.71,9.8,9.5,9.53,0.13,9.52,36,9.53,86,0.0
2008,5987817,2557,112466979,18.7,19.25,17.6,19.25,1.75,19.25,428,,0,0.0
2009,9085563,3323,231769419,26.6,26.6,25.15,25.8,1.35,25.8,27,25.85,15,860.0
2010,3681471,1502,52318289,14.2,14.4,14.05,14.25,0.2,14.2,109,14.25,51,25.91
2012,194421,137,3710771,19.4,19.4,19.0,19.0,0.2,19.0,25,19.1,25,26.39
2013,979781,483,32226453,32.85,33.2,32.6,32.85,0.0,32.85,16,32.9,24,12.59
2014,54731859,15352,859069708,15.6,16.05,15.35,15.5,0.0,15.5,1130,15.55,31,0.0
2015,2400250,1361,172220514,70.0,73.5,69.4,72.6,3.2,72.5,25,72.6,11,17.62
2017,3621904,1069,40812784,11.4,11.6,11.15,11.2,0.2,11.2,40,11.25,22,0.0
2020,1097883,527,21106036,19.4,19.5,19.1,19.25,0.05,19.2,16,19.25,17,11.6
2022,11370317,3411,92794594,8.48,8.48,7.9,8.15,0.22,8.15,8,8.16,36,0.0
2023,8769224,2553,117497031,13.6,13.6,13.25,13.35,0.0,13.35,87,13.4,374,0.0
2024,15683,23,244003,15.6,15.6,15.5,15.55,0.05,15.5,29,15.65,4,388.75
2025,572838,111,1661293,3.08,3.08,2.87,2.93,0.02,2.91,10,2.93,8,0.0
2027,28359157,12510,869836037,31.1,31.4,30.35,30.65,0.45,30.65,56,30.7,46,0.0
2028,3573167,1725,88450794,25.3,25.35,24.1,24.7,0.1,24.7,23,24.75,6,23.3
2029,2864304,1289,70141010,23.2,25.05,23.2,24.95,1.85,24.8,15,24.95,11,249.5
2030,3206624,1190,44651879,14.25,14.25,13.7,14.0,0.1,13.9,2,14.0,18,58.33
2031,2268114,1023,88884332,39.4,39.55,39.0,39.15,0.25,39.15,42,39.2,2,19.19
2032,2138454,763,29774874,14.2,14.2,13.8,13.95,0.05,13.95,30,14.0,73,28.47
2033,835025,358,10722267,13.2,13.35,12.65,12.65,0.35,12.65,10,12.7,2,22.19
2034,15913652,5942,448702467,28.4,28.5,27.75,27.9,0.3,27.9,36,27.95,15,25.83
2038,72331024,23740,1662978828,23.45,23.8,22.25,23.35,1.35,23.3,69,23.35,211,0.0
2049,2034819,2727,756972951,374.0,376.0,369.0,371.0,6.0,371.0,37,371.5,8,84.51
2059,140360,125,42098345,300.0,302.0,298.0,301.5,1.5,301.5,1,302.0,25,23.19
2062,121050,74,2889472,23.95,24.0,23.6,23.95,0.05,23.8,2,23.95,16,0.0
2069,143000,80,2545950,18.05,18.2,17.35,18.0,0.25,18.0,7,18.05,10,0.0
2101,379044,247,15768241,41.4,41.85,41.4,41.5,0.1,41.5,9,41.55,1,41.92
2102,640678,335,13076403,20.45,20.6,20.2,20.3,0.15,20.3,4,20.35,34,0.0
2103,1607861,595,37184978,23.1,23.4,22.85,23.1,0.05,23.05,47,23.1,23,0.0
2104,2744294,1316,68143798,25.1,25.2,24.65,24.8,0.05,24.8,34,24.85,64,0.0
2105,2056000,1264,89500901,43.5,43.85,43.3,43.55,0.05,43.5,109,43.55,107,43.55
2106,1064979,581,36684763,34.8,34.8,34.3,34.35,0.2,34.35,35,34.4,1,46.42
2107,1592603,747,39869549,25.2,25.4,24.8,24.9,0.2,24.9,22,24.95,18,9.58
2108,3974439,2546,240774583,61.5,61.8,60.0,60.1,1.1,60.1,165,60.2,7,15.57
2109,260102,105,3335295,12.9,12.9,12.75,12.9,0.05,12.8,4,12.9,40,16.33
2114,65689,54,5671572,86.0,86.9,86.0,86.3,0.3,86.3,1,86.6,1,16.1
2115,31713,32,1397482,44.5,44.5,43.85,43.85,0.0,43.7,4,43.95,1,7.18
2201,22972169,10742,916024077,37.65,41.05,37.6,41.05,3.7,41.05,1245,,0,0.0
2204,1801780,1056,88099648,48.5,49.7,48.45,49.1,0.6,49.1,2,49.15,20,0.0
2206,3115778,1303,106710068,34.5,34.65,33.85,34.0,0.2,34.0,1,34.05,2,16.43
2207,151923,236,95039247,632.0,632.0,621.0,622.0,5.0,622.0,8,623.0,1,25.65
2208,5708451,2651,163633375,28.85,29.4,28.15,28.3,0.35,28.3,28,28.35,6,0.0
2227,130539,183,33560844,258.5,259.0,256.0,256.5,1.0,256.5,4,257.5,6,12.74
2228,220030,152,18016169,81.8,83.0,81.4,81.5,0.2,81.5,1,81.7,1,34.68
2231,1640245,1395,322456305,196.5,201.5,193.0,195.5,3.0,195.5,16,196.0,16,100.26
2233,2234189,1568,185321099,82.5,84.4,81.3,81.9,0.5,81.8,23,81.9,1,15.39
2236,166846,127,3271903,19.1,20.45,18.9,19.8,1.05,19.8,4,19.85,5,1980.0
2239,1379972,1095,138701678,97.8,104.0,97.0,99.5,3.1,99.5,2,99.7,27,28.27
2241,184200,122,9968800,54.1,54.7,53.8,54.2,0.0,54.2,1,54.3,2,96.79
2243,44160,30,542484,12.5,12.5,12.2,12.3,0.15,12.3,1,12.35,1,0.0
2247,92208,114,23608025,255.5,257.0,255.5,256.0,0.5,255.5,6,256.5,9,18.23
2301,2320028,1245,114429226,49.2,49.4,49.2,49.3,0.1,49.25,223,49.3,52,11.0
2302,1971073,1076,48798347,24.7,25.6,24.1,24.5,0.0,24.5,8,24.55,1,490.0
2303,97512133,32665,4581552392,47.1,47.45,46.55,46.75,0.2,46.7,1089,46.75,267,26.56
2305,2663158,765,23925238,9.05,9.15,8.88,8.91,0.01,8.91,38,8.94,16,55.69
2308,2499181,1757,625412829,249.0,252.0,248.5,249.0,1.5,249.0,46,249.5,53,27.95
2312,10261858,2904,123320324,12.15,12.15,11.9,12.0,0.05,11.95,143,12.0,106,60.0
2313,6298713,3407,276006405,44.0,44.15,43.6,43.75,0.0,43.75,35,43.8,23,10.83
2314,6674382,3240,216393493,32.5,33.1,31.75,32.0,0.15,32.0,23,32.1,4,0.0
2316,627643,481,19762687,31.8,32.15,31.0,31.1,0.3,31.05,21,31.1,5,14.2
2317,114607503,61188,10497953149,90.9,92.2,90.8,91.8,2.2,91.7,467,91.8,1232,12.29
2321,33658,20,270759,7.85,8.09,7.85,8.09,0.11,7.87,24,8.09,3,0.0
2323,18178937,4032,170955247,9.46,9.57,9.28,9.34,0.02,9.34,25,9.35,251,0.0
2324,7066525,2627,145178912,20.5,20.6,20.45,20.6,0.2,20.55,320,20.6,300,13.21
2327,8955496,8039,4510339453,508.0,512.0,498.5,500.0,4.0,500.0,102,501.0,7,24.3
2328,27489858,10079,651684212,23.2,24.2,23.05,24.2,1.3,24.15,216,24.2,85,24.44
2329,4519594,1532,67852172,15.2,15.2,14.85,14.9,0.1,14.9,4,14.95,39,0.0
2330,12581145,14988,6449612552,514.0,515.0,510.0,511.0,1.0,511.0,123,512.0,150,26.98
2331,44107966,8838,1092604531,23.2,25.1,23.15,25.1,2.25,25.1,11520,,0,66.05
2332,9575473,3323,271178775,28.1,28.65,28.1,28.2,0.1,28.15,77,28.2,24,85.45
2337,31054824,13102,1261757224,40.7,41.1,40.2,40.4,0.05,40.4,361,40.45,63,15.19
2338,4871598,2213,196672968,40.15,40.8,40.05,40.35,0.25,40.3,46,40.35,58,26.72
2340,3249463,1352,82800526,25.6,25.75,25.3,25.4,0.05,25.4,159,25.45,2,19.54
2342,10863385,5545,399683524,35.7,37.4,35.7,36.95,1.1,36.95,19,37.0,28,0.0
2344,280446528,79484,7445481461,26.3,27.05,26.0,26.7,0.9,26.65,449,26.7,104,140.53
2345,620154,631,179317973,290.0,293.0,287.0,287.5,1.5,287.5,23,288.0,4,33.63
2347,2005436,985,94007584,47.0,47.35,46.7,46.7,0.3,46.7,77,46.75,5,10.22
2348,148358,136,12586075,85.2,85.6,84.3,84.4,0.1,84.4,2,84.5,1,7.65
2349,9189982,2328,104699287,11.4,11.6,11.2,11.35,0.2,11.3,13,11.35,69,0.0
2351,2985278,1954,228862620,74.1,77.6,74.1,77.0,3.2,77.0,7,77.2,28,52.74
2352,32646217,13019,904749458,27.15,28.15,27.1,27.85,1.3,27.85,287,27.9,208,14.21
2353,8603097,2785,204725057,24.0,24.0,23.65,23.75,0.05,23.75,68,23.8,200,16.27
2354,7815184,4307,419464780,53.1,54.2,53.1,53.7,1.0,53.7,124,53.8,86,13.98
2355,2127560,1030,64279675,30.2,30.45,30.0,30.05,0.2,30.0,201,30.05,58,91.06
2356,4768071,1994,114192882,23.95,24.0,23.9,23.95,0.05,23.9,273,23.95,65,10.74
2357,1748776,1337,435268368,250.0,251.0,247.5,248.0,0.5,248.0,25,248.5,22,9.52
2358,364363,160,5549988,15.25,15.45,15.05,15.35,0.15,15.35,9,15.4,23,191.88
2359,2059366,957,40117197,19.2,19.85,19.0,19.4,0.25,19.4,6,19.45,40,34.64
2360,267467,267,45778214,172.0,172.5,170.0,171.0,0.0,170.5,6,171.5,14,32.02
2362,715527,363,21487737,29.9,30.35,29.65,29.8,0.05,29.8,56,29.9,9,110.37
2363,8176230,2890,142196366,17.4,17.6,17.2,17.3,0.05,17.3,192,17.35,6,0.0
2364,157588,68,552471,3.52,3.52,3.5,3.5,0.05,3.47,10,3.5,76,116.67
2365,1840625,532,21900955,11.95,12.05,11.8,11.8,0.05,11.8,77,11.85,44,11.35
2367,3608189,1575,81420843,22.85,22.9,22.35,22.4,0.2,22.4,246,22.45,11,0.0
2368,16605259,8965,849262472,52.1,52.3,50.3,50.9,0.9,50.9,50,51.0,36,13.5
2369,8076662,2493,115203186,14.05,14.6,13.95,14.2,0.25,14.2,83,14.25,52,0.0
2371,75234245,19395,2040643565,27.5,27.7,26.75,26.95,0.6,26.95,113,27.0,66,33.69
2373,74794,65,6459502,86.4,86.6,86.0,86.2,0.6,86.3,3,86.5,6,14.06
2374,745347,323,10470665,14.15,14.2,13.85,14.2,0.1,14.0,10,14.2,40,0.0
2375,17948284,11026,1537047945,87.0,87.5,83.7,84.8,1.4,84.8,11,84.9,41,20.78
2376,2236781,1615,171562291,76.9,77.2,76.3,76.6,0.4,76.6,36,76.7,19,13.3
2377,1271864,948,160080516,126.5,127.0,125.0,125.5,0.5,125.0,153,125.5,20,14.58
2379,1282964,1254,517444340,398.5,408.0,397.0,400.5,4.0,400.0,37,400.5,23,26.18
2380,511712,279,3553565,6.95,7.0,6.9,6.93,0.01,6.92,1,6.93,6,0.0
2382,4628739,2566,368515288,79.2,80.0,78.9,79.8,1.0,79.7,35,79.8,205,14.51
2383,1360487,1102,214352389,159.0,159.0,156.5,157.5,0.0,157.0,63,157.5,48,13.62
2385,661922,535,56851938,85.6,86.2,85.1,86.1,1.1,85.9,2,86.1,6,11.05
2387,2454446,1508,160085445,66.2,66.5,64.3,64.7,1.1,64.7,22,64.8,6,16.22
2388,8777221,5515,464700713,55.1,55.9,51.3,51.9,3.0,51.9,29,52.0,23,0.0
2390,970529,416,14331254,14.85,14.9,14.65,14.75,0.05,14.7,19,14.75,11,25.43
2392,13725921,7437,658185256,47.05,48.6,46.85,48.5,1.7,48.45,107,48.5,280,11.1
2393,1871284,997,70088062,37.7,37.85,37.15,37.3,0.3,37.25,25,37.3,27,14.51
2395,226655,243,74896354,334.5,335.0,326.0,328.5,4.0,328.0,9,328.5,21,35.02
2397,28368,29,1885923,66.4,66.8,66.3,66.4,0.1,66.4,6,66.5,1,17.07
2399,10534212,3653,183992230,17.9,18.1,17.15,17.25,0.25,17.25,247,17.3,9,21.04
2401,11508103,3706,199988389,17.7,17.8,17.1,17.3,0.15,17.3,72,17.35,167,75.22
2402,1801626,705,31915748,17.85,17.95,17.55,17.6,0.35,17.6,28,17.65,17,37.45
2404,591535,508,124542139,210.0,211.5,209.5,211.5,2.0,211.0,7,211.5,4,10.25
2405,14357935,3660,176209432,11.9,12.35,11.8,12.35,1.1,12.35,2053,,0,0.0
2406,6575766,2988,145159969,22.65,22.75,21.7,21.8,0.65,21.8,223,21.85,3,0.0
2408,11690574,7644,991439145,85.6,86.4,83.3,84.0,1.3,83.9,49,84.0,208,32.06
2409,219930736,35868,3321039061,14.8,15.3,14.75,15.15,0.55,15.15,342,15.2,5552,0.0
2412,8715662,4220,945414602,108.5,109.0,108.0,108.5,0.5,108.5,2792,109.0,1221,25.53
2413,6064446,3408,162368937,26.0,27.85,25.7,26.25,0.35,26.2,64,26.25,61,0.0
2414,120470,89,3066857,25.5,25.65,25.4,25.45,0.0,25.4,21,25.45,1,12.0
2415,248500,111,4856225,19.65,19.7,19.45,19.55,0.15,19.5,5,19.55,1,0.0
2417,6207661,3519,310122280,50.4,50.8,49.1,49.1,0.75,49.1,25,49.25,9,9.78
2419,4467595,2023,112800070,24.8,25.9,24.55,25.65,0.9,25.6,126,25.65,45,33.31
2420,115465,82,3856234,33.4,33.45,33.35,33.4,0.05,33.35,33,33.4,17,11.25
2421,603939,433,32134219,53.4,53.5,53.0,53.2,0.2,53.2,24,53.3,28,14.58
2423,335724,185,8029424,23.95,24.05,23.8,23.9,0.05,23.9,6,23.95,24,15.72
2424,29674,41,856156,30.2,30.2,28.0,29.0,1.3,28.05,1,29.85,1,0.0
2425,1102310,700,31632318,29.2,29.3,28.3,28.45,0.5,28.45,10,28.5,17,33.87
2426,910647,443,14630502,16.15,16.2,16.0,16.05,0.0,16.05,1,16.1,24,11.98
2427,262455,115,3041080,11.6,11.65,11.5,11.65,0.05,11.6,183,11.65,91,14.21
2428,1174203,983,181731619,154.5,157.0,152.5,156.5,3.0,156.0,3,156.5,24,16.1
2429,196000,97,3869400,20.05,20.05,19.65,19.8,0.05,19.65,34,19.8,3,0.0
2430,149952,78,2908350,19.4,19.5,19.35,19.45,0.1,19.4,10,19.45,2,12.47
2431,3712798,953,46158350,12.55,12.75,12.15,12.4,0.25,12.35,17,12.4,27,26.38
2433,34175,25,1746195,51.3,51.3,51.0,51.1,0.2,51.1,4,51.2,1,13.0
2434,8116,14,218256,26.85,27.0,26.85,27.0,0.2,26.85,1,27.1,2,0.0
2436,13697578,7475,661136155,47.8,49.4,47.45,47.8,0.3,47.75,10,47.8,3,33.19
2438,125277,59,833217,6.72,6.72,6.6,6.7,0.0,6.59,1,6.7,23,134.0
2439,966893,862,142292371,148.5,148.5,146.0,147.5,1.0,147.0,15,147.5,26,25.52
2440,521947,236,6983041,13.45,13.55,13.25,13.35,0.05,13.35,8,13.45,25,10.35
2441,819000,510,44612216,54.0,54.8,54.0,54.3,0.4,54.3,18,54.4,7,12.84
2442,19334989,2644,221963152,11.2,11.65,11.15,11.35,0.25,11.35,21,11.4,228,283.75
2443,445000,104,1429387,3.38,3.38,3.05,3.2,0.11,3.15,1,3.21,4,0.0
2444,233201,98,3255553,14.0,14.1,13.9,14.0,0.0,13.9,20,14.0,23,0.0
2449,12228942,5813,420913251,34.0,34.7,33.95,34.6,0.9,34.6,214,34.65,304,10.71
2450,86441,101,2551794,29.5,29.65,29.45,29.55,0.0,29.5,7,29.55,5,19.57
2451,847240,630,54262993,63.5,64.4,63.4,64.3,1.1,64.2,13,64.3,5,20.74
2453,2412320,991,45268309,18.8,19.2,18.3,18.3,0.5,18.3,28,18.35,11,13.07
2454,2222300,2353,1593359269,720.0,722.0,712.0,715.0,1.0,715.0,24,716.0,5,34.81
2455,4271665,2807,459191551,109.0,110.0,106.0,107.0,1.0,107.0,10,107.5,82,38.63
2456,13261202,10134,1529571845,118.5,119.0,112.5,113.5,4.5,113.5,230,114.0,104,18.98
2457,9754452,3416,159910015,16.35,16.9,15.9,16.5,0.2,16.45,24,16.5,135,0.0
2458,1543166,1210,206286451,134.0,134.5,133.0,133.5,1.0,133.5,37,134.0,82,12.82
2459,92085,76,4239881,46.0,46.2,45.85,46.15,0.3,46.1,2,46.2,25,10.3
2460,4458781,1700,81644499,17.6,18.9,17.5,17.55,0.05,17.55,40,17.6,4,0.0
2461,551273,254,10397882,19.0,19.1,18.7,18.8,0.05,18.8,5,18.85,43,0.0
2462,217073,130,6619880,30.7,30.8,30.25,30.3,0.4,30.3,1,30.6,1,28.32
2464,629548,392,26878001,42.95,43.0,42.45,42.6,0.15,42.6,7,42.65,2,17.25
2465,3993048,2189,87988222,22.85,23.0,21.5,21.5,1.0,21.5,292,21.55,10,0.0
2466,89010,54,2838112,31.8,31.95,31.8,31.95,0.2,31.9,1,31.95,9,106.5
2467,565879,330,20631449,36.1,36.6,36.1,36.5,0.5,36.45,6,36.5,13,15.87
2468,63000,24,869100,13.9,13.9,13.75,13.8,0.0,13.75,6,13.8,5,17.92
2471,7880844,3980,220130353,27.65,28.65,27.1,27.95,0.95,27.75,2,27.95,2,13.57
2472,1717636,1181,105916319,62.3,62.5,60.8,61.8,0.0,61.8,1,61.9,17,12.36
2474,1181541,984,239218443,203.0,203.5,201.5,202.5,1.0,202.0,30,202.5,97,14.4
2476,144406,104,2972389,20.55,20.8,20.45,20.7,0.35,20.6,1,20.7,28,16.69
2477,122869,73,3826002,31.2,31.4,30.8,31.15,0.05,31.0,3,31.15,1,22.09
2478,8981921,5221,729491249,82.2,82.5,80.2,81.0,0.1,81.0,100,81.1,43,16.84
2480,117560,127,7728854,65.3,66.0,65.3,65.9,0.6,65.9,3,66.0,11,14.52
2481,57835388,30650,2993956545,51.6,53.8,50.1,51.0,0.4,50.9,33,51.0,371,20.08
2482,56176,74,598539,10.7,10.7,10.6,10.6,0.0,10.6,35,10.65,8,0.0
2483,67105,45,1315857,19.45,19.7,19.45,19.6,0.2,19.55,8,19.65,14,22.27
2484,1346263,576,30616497,22.75,23.0,22.45,22.65,0.25,22.65,9,22.75,3,26.03
2485,573497,375,11206885,19.6,19.85,19.4,19.4,0.15,19.4,49,19.45,1,0.0
2486,8303223,3125,165382844,19.7,20.4,19.6,19.9,0.5,19.85,103,19.9,10,0.0
2488,328284,192,10023025,30.9,30.95,29.5,30.5,0.2,30.5,12,30.55,1,12.76
2489,2413377,756,29502173,12.3,12.3,12.15,12.2,0.05,12.15,139,12.2,58,0.0
2491,186690,70,1797284,9.69,9.79,9.55,9.64,0.05,9.61,3,9.64,29,1.85
2492,10358642,7766,2328469302,229.0,230.5,221.5,223.0,4.0,223.0,15,223.5,135,17.74
2493,352003,234,11790201,33.6,33.7,33.4,33.4,0.2,33.4,22,33.5,2,13.31
2495,135050,68,1681969,12.35,12.55,12.3,12.5,0.15,12.4,20,12.45,1,0.0
2496,86426,53,4655175,54.2,54.2,53.5,53.6,0.4,53.3,2,53.9,15,14.33
2497,223108,146,6144470,27.35,28.05,27.25,27.5,0.3,27.5,6,27.7,6,0.0
2498,4370212,1836,134163254,30.65,30.95,30.5,30.55,0.25,30.55,12,30.6,60,0.0
2501,630856,291,12371950,19.65,19.7,19.55,19.65,0.0,19.6,61,19.65,13,17.7
2504,2631453,1461,63982496,24.5,24.65,24.15,24.25,0.15,24.2,18,24.25,10,12.5
2506,387094,163,3858465,9.99,9.99,9.93,9.96,0.01,9.96,3,9.97,1,0.0
2509,109118,42,2031660,18.65,18.65,18.5,18.55,0.05,18.5,10,18.55,7,32.54
2511,1912683,483,21732844,11.3,11.45,11.3,11.4,0.15,11.35,78,11.4,122,39.31
2514,158177,118,2234146,14.0,14.15,14.0,14.15,0.15,14.1,16,14.2,50,50.54
2515,25506927,5771,248978203,9.8,9.92,9.63,9.7,0.1,9.7,184,9.71,93,28.53
2516,366001,121,1897320,5.2,5.24,5.13,5.24,0.07,5.18,3,5.24,23,0.0
2520,966130,582,32212614,33.35,33.5,33.2,33.3,0.1,33.3,17,33.35,12,8.26
2524,187271,26,7322904,39.05,39.3,39.05,39.1,0.05,39.05,3,39.1,12,8.5
2527,167520,80,3181742,19.1,19.1,18.95,19.05,0.05,19.0,6,19.05,5,15.24
2528,90174,34,2088819,23.2,23.3,23.1,23.1,0.0,23.1,5,23.2,8,0.0
2530,1054162,477,14982878,14.35,14.35,14.1,14.2,0.1,14.15,257,14.2,26,0.0
2534,529450,453,10479249,19.6,19.95,19.6,19.85,0.2,19.8,5,19.85,2,15.51
2535,1009232,337,26866101,26.55,26.7,26.55,26.65,0.1,26.6,22,26.65,25,9.06
2536,282316,140,6360254,22.65,22.65,22.45,22.55,0.05,22.5,32,22.55,14,10.74
2537,1136661,372,10921028,9.53,9.66,9.53,9.65,0.14,9.64,9,9.65,8,56.76
2538,893452,226,9142801,10.15,10.3,10.15,10.25,0.1,10.2,26,10.25,19,0.0
2539,81860,65,2478603,30.35,30.35,30.2,30.3,0.1,30.2,7,30.35,20,12.89
2540,237125,41,16524559,69.0,70.3,69.0,69.8,0.8,69.7,3,69.8,1,15.62
2542,6724059,3210,312529899,46.45,46.85,46.0,46.45,0.05,46.4,1,46.45,151,17.08
2543,186754,52,1307051,6.99,7.03,6.98,6.98,0.01,6.98,6,7.0,1,38.78
2545,269000,141,10103950,37.65,37.8,37.3,37.7,0.0,37.7,38,37.75,18,8.59
2546,128006,71,6152894,48.15,48.2,48.0,48.1,0.05,48.1,3,48.15,1,10.64
2547,1195879,473,14055069,11.85,11.85,11.65,11.7,0.0,11.65,331,11.7,185,30.79
2548,334569,270,29368629,88.0,88.0,87.6,87.8,0.2,87.7,13,87.9,27,10.68
2597,50528,43,3282525,64.9,65.0,64.9,65.0,0.4,64.9,2,65.0,1,11.57
2601,27693899,6427,302422098,10.8,11.15,10.7,10.75,0.0,10.75,866,10.8,181,0.0
2603,384598900,90150,12737068131,33.0,34.0,32.45,33.45,2.45,33.4,98,33.45,2696,15.07
2605,42238794,14867,878342888,20.3,21.4,20.3,20.9,1.1,20.9,17,20.95,18,17.56
